item_id,title,brand,user_id,rating,timestamp,sub_cat,main_cat,age,gender,location
65f3f1653403876ff7cb16c3,samsung galaxy s24 5g ai smartphone (amber yellow 8gb 512gb storage),samsung,77864601,3.6,2024-03-15 06:57:38,SmartPhones,Electronics,18-24,male,usa
65f3f1683403876ff7cb1ea1,samsung galaxy s24 plus 5g ai smartphone (onyx black 12gb 512gb storage),samsung,77864601,4.6,2024-03-15 06:57:40,SmartPhones,Electronics,18-24,male,usa
65f3f1ce3403876ff7cc0483,samsung s24 ultra 5g  256 gb 12 gb ram titanium black mobile phone,samsung,77864601,0.0,2024-03-17 06:08:09,SmartPhones,Electronics,18-24,male,usa
65f4614a3403876ff7062759,motorola g34 5g (ocean green 8gb ram 128gb storage),motorola,77864601,3.9,2024-03-15 14:55:04,SmartPhones,Electronics,18-24,male,usa
65f461573403876ff70648d2,motorola g24 power (glacier blue 8gb ram 128gb storage),motorola,77864601,3.9,2024-03-15 14:55:17,SmartPhones,Electronics,18-24,male,usa
65f461623403876ff70662d0,motorola g34 5g (charcoal black 8gb ram 128gb storage),motorola,77864601,3.9,2024-03-15 14:55:27,SmartPhones,Electronics,18-24,male,usa
65f4616b3403876ff7067e19,motorola g34 5g (ice blue 4gb ram 128gb storage),motorola,77864601,3.9,2024-03-15 14:55:37,SmartPhones,Electronics,18-24,male,usa
65f461783403876ff706a043,motorola g24 power (ink blue 8gb ram 128gb storage)  expandable upto 1 tb  up to 8gb with ram boost  50 mp quad pixel camera  mediatek helio g85  6000 mah battery & 33 w turbopower charger,motorola,77864601,3.9,2024-03-15 14:55:50,SmartPhones,Electronics,18-24,male,usa
65f461843403876ff706c138,motorola g24 power 4/128 (glacier blue),motorola,77864601,3.9,2024-03-15 14:56:02,SmartPhones,Electronics,18-24,male,usa
65f4628d3403876ff7095eb6,samsung galaxy s24 5g ai smartphone (onyx black 8gb 256gb storage),samsung,77864601,3.6,2024-03-15 15:00:27,SmartPhones,Electronics,18-24,male,usa
65f462903403876ff7096611,samsung galaxy s24 ultra 5g ai smartphone (titanium black 12gb 512gb storage),samsung,77864601,4.2,2024-03-15 15:00:29,SmartPhones,Electronics,18-24,male,usa
65f462913403876ff70967e4,samsung galaxy s24 ultra 5g ai smartphone (titanium gray 12gb 512gb storage),samsung,77864601,4.2,2024-03-15 15:00:31,SmartPhones,Electronics,18-24,male,usa
65f462933403876ff7096d42,samsung galaxy s24 5g ai smartphone (cobalt violet 8gb 256gb storage),samsung,77864601,3.6,2024-03-15 15:00:32,SmartPhones,Electronics,18-24,male,usa
65f462953403876ff7097334,samsung galaxy s24 plus 5g ai smartphone (cobalt violet 12gb 256gb storage),samsung,77864601,4.6,2024-03-15 15:00:35,SmartPhones,Electronics,18-24,male,usa
65f462983403876ff7097a87,samsung galaxy s24 5g ai smartphone (onyx black 8gb 512gb storage),samsung,77864601,3.6,2024-03-15 15:00:38,SmartPhones,Electronics,18-24,male,usa
65f4629a3403876ff7098194,samsung galaxy s24 ultra 5g ai smartphone (titanium gray 12gb 256gb storage),samsung,77864601,4.2,2024-03-15 15:00:40,SmartPhones,Electronics,18-24,male,usa
65f4629c3403876ff709865e,samsung galaxy s24 ultra 5g ai smartphone (titanium violet 12gb 512gb storage),samsung,77864601,4.2,2024-03-15 15:00:42,SmartPhones,Electronics,18-24,male,usa
65f4629f3403876ff7098cb0,samsung galaxy s24 5g ai smartphone (amber yellow 8gb 256gb storage),samsung,77864601,3.6,2024-03-15 15:00:45,SmartPhones,Electronics,18-24,male,usa
65f462a13403876ff7099320,samsung galaxy s24 ultra 5g ai smartphone (titanium black 12gb 256gb storage),samsung,77864601,4.2,2024-03-15 15:00:47,SmartPhones,Electronics,18-24,male,usa
